sch,sch_dep,sch_par,sid,story_dep,story_par,text
9	the	the	_	DT	_	10	det	_	_
10	stork	stork	_	NN	_	7	nmod	_	_
11	into	into	_	IN	_	16	case	_	_
12	the	the	_	DT	_	16	det	_	_
13	long	long	_	JJ	_	16	amod	_	_
14	and	and	_	CC	_	13	cc	_	_
15	narrow	narrow	_	JJ	_	13	conj	_	_
16	neck	neck	_	NN	_	4	nmod	_	_
17	of	of	_	IN	_	19	case	_	_
18	the	the	_	DT	_	19	det	_	_
19	pitcher	pitcher	_	NN	_	16	nmod	_	_
20	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	stork	stork	_	NN	_	3	nsubj	_	_
3	enjoied	enjoi	_	VBD	_	0	root	_	_
4	some	some	_	DT	_	5	det	_	_
5	dinner	dinner	_	NN	_	3	dobj	_	_
6	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	began	begin	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	mark	_	_
5	be	be	_	VB	_	6	cop	_	_
6	hungry	hungry	_	JJ	_	3	xcomp	_	_
7	and	and	_	CC	_	3	cc	_	_
8	began	begin	_	VBD	_	3	conj	_	_
9	to	to	_	TO	_	11	mark	_	_
10	be	be	_	VB	_	11	cop	_	_
11	helpless	helpless	_	JJ	_	8	xcomp	_	_
12	because	because	_	IN	_	16	mark	_	_
13	he	he	_	PRP	_	16	nsubj	_	_
14	was	be	_	VBD	_	16	cop	_	_
15	n't	not	_	RB	_	16	neg	_	_
16	able	able	_	JJ	_	11	advcl	_	_
17	to	to	_	TO	_	18	mark	_	_
18	reach	reach	_	VB	_	16	xcomp	_	_
19	some	some	_	DT	_	20	det	_	_
20	food	food	_	NN	_	18	dobj	_	_
21	that	that	_	WDT	_	25	nsubj	_	_
22	was	be	_	VBD	_	25	cop	_	_
23	in	in	_	IN	_	25	case	_	_
24	the	the	_	DT	_	25	det	_	_
25	pitcher	pitcher	_	NN	_	20	acl:relcl	_	_
26	.	.	_	.	_	3	punct	_	_

","(ROOT (S (NP (DT A) (JJ clever) (NN fox)) (VP (VBD invited) (NP (DT a) (NN stork) (S (VP (TO to) (VP (VB dine)))))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (ADVP (RB only)) (VP (VBD served) (NP (DT some) (NN soup)) (PP (IN in) (NP (DT a) (ADJP (JJ flat) (CC and) (JJ large)) (NN dish)))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VBD lapped) (NP (DT the) (NN soup)) (PP (IN with) (NP (NN relish)))) (. .)))
(ROOT (S (NP (DT The) (NN stork)) (VP (VP (VBN attempted) (S (VP (TO to) (VP (VB drink) (NP (DT some) (JJ savory) (NN broth)))))) (CC and) (VP (VBD failed))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VBD believed) (SBAR (IN that) (S (NP (NN distress)) (VP (VBD was) (ADJP (JJ amusing)))))) (. .)))
(ROOT (S (NP (DT The) (NN stork)) (ADVP (RB shortly)) (VP (VBD invited) (NP (DT the) (NN fox) (S (VP (TO to) (VP (VB dine)))))) (. .)))
(ROOT (S (NP (DT The) (NN stork)) (VP (VBD presented) (NP (DT the) (NN fox)) (PP (IN with) (NP (DT a) (NN pitcher)))) (. .)))
(ROOT (S (NP (DT The) (NN stork)) (ADVP (RB easily)) (VP (VBD fitted) (NP (NP (DT the) (JJ long) (NN bill)) (PP (IN of) (NP (DT the) (NN stork)))) (PP (IN into) (NP (NP (DT the) (ADJP (JJ long) (CC and) (JJ narrow)) (NN neck)) (PP (IN of) (NP (DT the) (NN pitcher)))))) (. .)))
(ROOT (S (NP (DT The) (NN stork)) (VP (VBD enjoied) (NP (DT some) (NN dinner))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADJP (JJ hungry)))))) (CC and) (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADJP (JJ helpless)) (SBAR (IN because) (S (NP (PRP he)) (VP (VBD was) (RB n't) (ADJP (JJ able) (S (VP (TO to) (VP (VB reach) (NP (NP (DT some) (NN food)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (PP (IN in) (NP (DT the) (NN pitcher))))))))))))))))))) (. .)))
",fables-04,"1	A	a	_	DT	_	2	det	_	_
2	Fox	Fox	_	NNP	_	3	nsubj	_	_
3	invited	invite	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	5	det	_	_
5	Stork	Stork	_	NNP	_	3	dobj	_	_
6	to	to	_	TO	_	7	case	_	_
7	dinner	dinner	_	NN	_	3	nmod	_	_
8	,	,	_	,	_	7	punct	_	_
9	at	at	_	IN	_	10	case	_	_
10	which	which	_	WDT	_	19	nmod	_	_
11	the	the	_	DT	_	13	det	_	_
12	only	only	_	JJ	_	13	amod	_	_
13	fare	fare	_	NN	_	19	nsubj	_	_
14	provided	provide	_	VBN	_	13	acl	_	_
15	was	be	_	VBD	_	19	cop	_	_
16	a	a	_	DT	_	19	det	_	_
17	large	large	_	JJ	_	19	amod	_	_
18	flat	flat	_	JJ	_	19	amod	_	_
19	dish	dish	_	NN	_	7	acl:relcl	_	_
20	of	of	_	IN	_	21	case	_	_
21	soup	soup	_	NN	_	19	nmod	_	_
22	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	Fox	Fox	_	NNP	_	3	nsubj	_	_
3	lapped	lap	_	VBD	_	0	root	_	_
4	it	it	_	PRP	_	3	dobj	_	_
5	up	up	_	RP	_	3	compound:prt	_	_
6	with	with	_	IN	_	8	case	_	_
7	great	great	_	JJ	_	8	amod	_	_
8	relish	relish	_	NN	_	3	nmod	_	_
9	,	,	_	,	_	3	punct	_	_
10	but	but	_	CC	_	3	cc	_	_
11	the	the	_	DT	_	12	det	_	_
12	Stork	Stork	_	NNP	_	17	nsubj	_	_
13	with	with	_	IN	_	16	case	_	_
14	her	she	_	PRP$	_	16	nmod:poss	_	_
15	long	long	_	JJ	_	16	amod	_	_
16	bill	bill	_	NN	_	12	nmod	_	_
17	tried	try	_	VBD	_	3	conj	_	_
18	in	in	_	IN	_	19	case	_	_
19	vain	vain	_	JJ	_	17	nmod	_	_
20	to	to	_	TO	_	21	mark	_	_
21	partake	partake	_	VB	_	17	xcomp	_	_
22	of	of	_	IN	_	25	case	_	_
23	the	the	_	DT	_	25	det	_	_
24	savoury	savoury	_	JJ	_	25	amod	_	_
25	broth	broth	_	NN	_	21	nmod	_	_
26	.	.	_	.	_	3	punct	_	_

1	Her	she	_	PRP$	_	3	nmod:poss	_	_
2	evident	evident	_	JJ	_	3	amod	_	_
3	distress	distress	_	NN	_	4	nsubj	_	_
4	caused	cause	_	VBD	_	0	root	_	_
5	the	the	_	DT	_	9	det	_	_
6	sly	sly	_	JJ	_	9	amod	_	_
7	Fox	Fox	_	NNP	_	9	compound	_	_
8	much	much	_	JJ	_	9	amod	_	_
9	amusement	amusement	_	NN	_	4	dobj	_	_
10	.	.	_	.	_	4	punct	_	_

1	But	but	_	CC	_	0	root	_	_
2	not	not	_	RB	_	3	neg	_	_
3	long	long	_	RB	_	1	dep	_	_
4	after	after	_	IN	_	7	mark	_	_
5	the	the	_	DT	_	6	det	_	_
6	Stork	Stork	_	NNP	_	7	nsubj	_	_
7	invited	invite	_	VBD	_	3	advcl	_	_
8	him	he	_	PRP	_	7	dobj	_	_
9	in	in	_	IN	_	10	case	_	_
10	turn	turn	_	NN	_	7	nmod	_	_
11	,	,	_	,	_	3	punct	_	_
12	and	and	_	CC	_	3	cc	_	_
13	set	set	_	VBN	_	3	conj	_	_
14	before	before	_	IN	_	15	case	_	_
15	him	he	_	PRP	_	13	nmod	_	_
16	a	a	_	DT	_	17	det	_	_
17	pitcher	pitcher	_	NN	_	13	dobj	_	_
18	with	with	_	IN	_	23	case	_	_
19	a	a	_	DT	_	23	det	_	_
20	long	long	_	JJ	_	23	amod	_	_
21	and	and	_	CC	_	20	cc	_	_
22	narrow	narrow	_	JJ	_	20	conj	_	_
23	neck	neck	_	NN	_	17	nmod	_	_
24	,	,	_	,	_	23	punct	_	_
25	into	into	_	IN	_	26	case	_	_
26	which	which	_	WDT	_	29	nmod	_	_
27	she	she	_	PRP	_	29	nsubj	_	_
28	could	could	_	MD	_	29	aux	_	_
29	get	get	_	VB	_	23	acl:relcl	_	_
30	her	she	_	PRP$	_	31	nmod:poss	_	_
31	bill	bill	_	NN	_	29	dobj	_	_
32	with	with	_	IN	_	33	case	_	_
33	ease	ease	_	NN	_	29	nmod	_	_
34	.	.	_	.	_	1	punct	_	_

1	Thus	thus	_	RB	_	11	advmod	_	_
2	,	,	_	,	_	11	punct	_	_
3	while	while	_	IN	_	5	mark	_	_
4	she	she	_	PRP	_	5	nsubj	_	_
5	enjoyed	enjoy	_	VBD	_	11	advcl	_	_
6	her	she	_	PRP$	_	7	nmod:poss	_	_
7	dinner	dinner	_	NN	_	5	dobj	_	_
8	,	,	_	,	_	11	punct	_	_
9	the	the	_	DT	_	10	det	_	_
10	Fox	Fox	_	NNP	_	11	nsubj	_	_
11	sat	sit	_	VBD	_	0	root	_	_
12	by	by	_	IN	_	13	case	_	_
13	hungry	hungry	_	JJ	_	11	nmod	_	_
14	and	and	_	CC	_	13	cc	_	_
15	helpless	helpless	_	JJ	_	13	conj	_	_
16	,	,	_	,	_	13	punct	_	_
17	for	for	_	IN	_	18	case	_	_
18	it	it	_	PRP	_	11	nmod	_	_
19	was	be	_	VBD	_	20	cop	_	_
20	impossible	impossible	_	JJ	_	11	dep	_	_
21	for	for	_	IN	_	24	mark	_	_
22	him	he	_	PRP	_	24	nsubj	_	_
23	to	to	_	TO	_	24	mark	_	_
24	reach	reach	_	VB	_	20	advcl	_	_
25	the	the	_	DT	_	27	det	_	_
26	tempting	tempting	_	JJ	_	27	amod	_	_
27	contents	contents	_	NNS	_	24	dobj	_	_
28	of	of	_	IN	_	30	case	_	_
29	the	the	_	DT	_	30	det	_	_
30	vessel	vessel	_	NN	_	27	nmod	_	_
31	.	.	_	.	_	11	punct	_	_

","(ROOT (S (NP (DT A) (NNP Fox)) (VP (VBD invited) (NP (DT a) (NNP Stork)) (PP (TO to) (NP (NP (NN dinner)) (, ,) (SBAR (WHPP (IN at) (WHNP (WDT which))) (S (NP (NP (DT the) (JJ only) (NN fare)) (VP (VBN provided))) (VP (VBD was) (NP (NP (DT a) (JJ large) (JJ flat) (NN dish)) (PP (IN of) (NP (NN soup)))))))))) (. .)))
(ROOT (S (S (NP (DT The) (NNP Fox)) (VP (VBD lapped) (NP (PRP it)) (PRT (RP up)) (PP (IN with) (NP (JJ great) (NN relish))))) (, ,) (CC but) (S (NP (NP (DT the) (NNP Stork)) (PP (IN with) (NP (PRP$ her) (JJ long) (NN bill)))) (VP (VBD tried) (PP (IN in) (NP (JJ vain))) (S (VP (TO to) (VP (VB partake) (PP (IN of) (NP (DT the) (JJ savoury) (NN broth)))))))) (. .)))
(ROOT (S (NP (PRP$ Her) (ADJP (JJ evident)) (NN distress)) (VP (VBD caused) (NP (DT the) (JJ sly) (NNP Fox) (JJ much) (NN amusement))) (. .)))
(ROOT (SINV (CC But) (ADVP (RB not) (RB long)) (PP (IN after) (NP (DT the) (NNP Stork))) (VP (VP (VBD invited) (NP (PRP him)) (PP (IN in) (NP (NN turn)))) (, ,) (CC and) (VP (VBN set) (PP (IN before) (NP (PRP him))))) (NP (NP (DT a) (NN pitcher)) (PP (IN with) (NP (NP (DT a) (ADJP (JJ long) (CC and) (JJ narrow)) (NN neck)) (, ,) (SBAR (WHPP (IN into) (WHNP (WDT which))) (S (NP (PRP she)) (VP (MD could) (VP (VB get) (NP (PRP$ her) (NN bill)) (PP (IN with) (NP (NN ease)))))))))) (. .)))
(ROOT (S (ADVP (RB Thus)) (, ,) (SBAR (IN while) (S (NP (PRP she)) (VP (VBD enjoyed) (NP (PRP$ her) (NN dinner))))) (, ,) (NP (DT the) (NNP Fox)) (VP (VBD sat) (PP (IN by) (ADJP (JJ hungry) (CC and) (JJ helpless))) (, ,) (SBAR (IN for) (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ impossible) (PP (IN for) (NP (PRP him)))) (S (VP (TO to) (VP (VB reach) (NP (NP (DT the) (JJ tempting) (NNS contents)) (PP (IN of) (NP (DT the) (NN vessel))))))))))) (. .)))
","A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup. The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.  Her evident distress caused the sly Fox much amusement. But not long after the Stork invited him in turn, and set before him a pitcher with a long and narrow neck, into which she could get her bill with ease. Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel."
"There once was a fat bull.  The bull was grazing in a meadow.  
A lion watched the bull and salivated because the lion wanted to eat the bull.  
The lion didn't attack the bull because the lion feared sharp every horn of the bull.  
The lion began to be hungry and decided to attempt to kill the bull.  
The lion planned to trick the bull because the lion wasn't able to fight the bull.  
The lion walked toward the bull and began to feign that the lion was friendly.  
The lion said to the bull that the lion admired the body of the bull, admired the head of the bull, he admired every shoulder of the bull and admired every thigh of the bull.  
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.  
The lion succeeded in persuading the bull to remove every horn of the bull.  
The lion ate the bull, and the bull began to be defenseless.  
","1	There	there	_	EX	_	6	expl	_	_
2	once	once	_	RB	_	6	advmod	_	_
3	was	be	_	VBD	_	6	cop	_	_
4	a	a	_	DT	_	6	det	_	_
5	fat	fat	_	JJ	_	6	amod	_	_
6	bull	bull	_	NN	_	0	root	_	_
7	.	.	_	.	_	6	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	bull	bull	_	NN	_	4	nsubj	_	_
3	was	be	_	VBD	_	4	cop	_	_
4	grazing	grazing	_	NN	_	0	root	_	_
5	in	in	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	meadow	meadow	_	NN	_	4	nmod	_	_
8	.	.	_	.	_	4	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	watched	watch	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bull	bull	_	NN	_	3	dobj	_	_
6	and	and	_	CC	_	3	cc	_	_
7	salivated	salivate	_	VBD	_	3	conj	_	_
8	because	because	_	IN	_	11	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	lion	lion	_	NN	_	11	nsubj	_	_
11	wanted	want	_	VBD	_	7	advcl	_	_
12	to	to	_	TO	_	13	mark	_	_
13	eat	eat	_	VB	_	11	xcomp	_	_
14	the	the	_	DT	_	15	det	_	_
15	bull	bull	_	NN	_	13	dobj	_	_
16	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	5	nsubj	_	_
3	did	do	_	VBD	_	5	aux	_	_
4	n't	not	_	RB	_	5	neg	_	_
5	attack	attack	_	VB	_	0	root	_	_
6	the	the	_	DT	_	7	det	_	_
7	bull	bull	_	NN	_	5	dobj	_	_
8	because	because	_	IN	_	11	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	lion	lion	_	NN	_	11	nsubj	_	_
11	feared	fear	_	VBD	_	5	advcl	_	_
12	sharp	sharp	_	JJ	_	14	amod	_	_
13	every	every	_	DT	_	14	det	_	_
14	horn	horn	_	NN	_	11	dobj	_	_
15	of	of	_	IN	_	17	case	_	_
16	the	the	_	DT	_	17	det	_	_
17	bull	bull	_	NN	_	14	nmod	_	_
18	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	began	begin	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	mark	_	_
5	be	be	_	VB	_	6	cop	_	_
6	hungry	hungry	_	JJ	_	3	xcomp	_	_
7	and	and	_	CC	_	3	cc	_	_
8	decided	decide	_	VBD	_	3	conj	_	_
9	to	to	_	TO	_	10	mark	_	_
10	attempt	attempt	_	VB	_	8	xcomp	_	_
11	to	to	_	TO	_	12	mark	_	_
12	kill	kill	_	VB	_	10	xcomp	_	_
13	the	the	_	DT	_	14	det	_	_
14	bull	bull	_	NN	_	12	dobj	_	_
15	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	planned	plan	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	trick	trick	_	VB	_	3	xcomp	_	_
6	the	the	_	DT	_	7	det	_	_
7	bull	bull	_	NN	_	5	dobj	_	_
8	because	because	_	IN	_	13	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	lion	lion	_	NN	_	13	nsubj	_	_
11	was	be	_	VBD	_	13	cop	_	_
12	n't	not	_	RB	_	13	neg	_	_
13	able	able	_	JJ	_	3	advcl	_	_
14	to	to	_	TO	_	15	mark	_	_
15	fight	fight	_	VB	_	13	xcomp	_	_
16	the	the	_	DT	_	17	det	_	_
17	bull	bull	_	NN	_	15	dobj	_	_
18	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	walked	walk	_	VBD	_	0	root	_	_
4	toward	toward	_	IN	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	bull	bull	_	NN	_	3	nmod	_	_
7	and	and	_	CC	_	3	cc	_	_
8	began	begin	_	VBD	_	3	conj	_	_
9	to	to	_	TO	_	10	mark	_	_
10	feign	feign	_	VB	_	8	xcomp	_	_
11	that	that	_	IN	_	15	mark	_	_
12	the	the	_	DT	_	13	det	_	_
13	lion	lion	_	NN	_	15	nsubj	_	_
14	was	be	_	VBD	_	15	cop	_	_
15	friendly	friendly	_	JJ	_	10	ccomp	_	_
16	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	said	say	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	bull	bull	_	NN	_	3	nmod	_	_
7	that	that	_	IN	_	10	mark	_	_
8	the	the	_	DT	_	9	det	_	_
9	lion	lion	_	NN	_	10	nsubj	_	_
10	admired	admire	_	VBD	_	3	ccomp	_	_
11	the	the	_	DT	_	12	det	_	_
12	body	body	_	NN	_	10	dobj	_	_
13	of	of	_	IN	_	15	case	_	_
14	the	the	_	DT	_	15	det	_	_
15	bull	bull	_	NN	_	12	nmod	_	_
16	,	,	_	,	_	10	punct	_	_
17	admired	admire	_	VBD	_	10	conj	_	_
18	the	the	_	DT	_	19	det	_	_
19	head	head	_	NN	_	17	dobj	_	_
20	of	of	_	IN	_	22	case	_	_
21	the	the	_	DT	_	22	det	_	_
22	bull	bull	_	NN	_	19	nmod	_	_
23	,	,	_	,	_	10	punct	_	_
24	he	he	_	PRP	_	25	nsubj	_	_
25	admired	admire	_	VBD	_	10	conj	_	_
26	every	every	_	DT	_	27	det	_	_
27	shoulder	shoulder	_	NN	_	25	dobj	_	_
28	of	of	_	IN	_	30	case	_	_
29	the	the	_	DT	_	30	det	_	_
30	bull	bull	_	NN	_	27	nmod	_	_
31	and	and	_	CC	_	10	cc	_	_
32	admired	admire	_	VBD	_	10	conj	_	_
33	every	every	_	DT	_	34	det	_	_
34	thigh	thigh	_	NN	_	32	dobj	_	_
35	of	of	_	IN	_	37	case	_	_
36	the	the	_	DT	_	37	det	_	_
37	bull	bull	_	NN	_	34	nmod	_	_
38	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	advised	advise	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bull	bull	_	NN	_	3	dobj	_	_
6	to	to	_	TO	_	7	mark	_	_
7	remove	remove	_	VB	_	3	xcomp	_	_
8	every	every	_	DT	_	9	det	_	_
9	horn	horn	_	NN	_	7	dobj	_	_
10	of	of	_	IN	_	12	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	bull	bull	_	NN	_	9	nmod	_	_
13	because	because	_	IN	_	20	mark	_	_
14	every	every	_	DT	_	15	det	_	_
15	horn	horn	_	NN	_	20	nsubj	_	_
16	of	of	_	IN	_	18	case	_	_
17	the	the	_	DT	_	18	det	_	_
18	bull	bull	_	NN	_	15	nmod	_	_
19	was	be	_	VBD	_	20	cop	_	_
20	ugly	ugly	_	JJ	_	7	advcl	_	_
21	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	succeeded	succeed	_	VBD	_	0	root	_	_
4	in	in	_	IN	_	5	mark	_	_
5	persuading	persuade	_	VBG	_	3	advcl	_	_
6	the	the	_	DT	_	7	det	_	_
7	bull	bull	_	NN	_	5	dobj	_	_
8	to	to	_	TO	_	9	mark	_	_
9	remove	remove	_	VB	_	5	advcl	_	_
10	every	every	_	DT	_	11	det	_	_
11	horn	horn	_	NN	_	9	dobj	_	_
12	of	of	_	IN	_	14	case	_	_
13	the	the	_	DT	_	14	det	_	_
14	bull	bull	_	NN	_	11	nmod	_	_
15	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	ate	eat	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bull	bull	_	NN	_	3	dobj	_	_
6	,	,	_	,	_	3	punct	_	_
7	and	and	_	CC	_	3	cc	_	_
8	the	the	_	DT	_	9	det	_	_
9	bull	bull	_	NN	_	10	nsubj	_	_
10	began	begin	_	VBD	_	3	conj	_	_
11	to	to	_	TO	_	13	mark	_	_
12	be	be	_	VB	_	13	cop	_	_
13	defenseless	defenseless	_	JJ	_	10	xcomp	_	_
14	.	.	_	.	_	3	punct	_	_

","(ROOT (S (NP (EX There)) (ADVP (RB once)) (VP (VBD was) (NP (DT a) (JJ fat) (NN bull))) (. .)))
(ROOT (S (NP (DT The) (NN bull)) (VP (VBD was) (NP (NP (NN grazing)) (PP (IN in) (NP (DT a) (NN meadow))))) (. .)))
(ROOT (S (NP (DT A) (NN lion)) (VP (VP (VBD watched) (NP (DT the) (NN bull))) (CC and) (VP (VBD salivated) (SBAR (IN because) (S (NP (DT the) (NN lion)) (VP (VBD wanted) (S (VP (TO to) (VP (VB eat) (NP (DT the) (NN bull)))))))))) (. .)))
(ROOT (S (NP (DT The) (NN lion)) (VP (VBD did) (RB n't) (VP (VB attack) (NP (DT the) (NN bull)) (SBAR (IN because) (S (NP (DT the) (NN lion)) (VP (VBD feared) (NP (NP (JJ sharp) (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull))))))))) (. .)))
(ROOT (S (NP (DT The) (NN lion)) (VP (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADJP (JJ hungry)))))) (CC and) (VP (VBD decided) (S (VP (TO to) (VP (VB attempt) (S (VP (TO to) (VP (VB kill) (NP (DT the) (NN bull)))))))))) (. .)))
(ROOT (S (NP (DT The) (NN lion)) (VP (VBD planned) (S (VP (TO to) (VP (VB trick) (NP (DT the) (NN bull)) (SBAR (IN because) (S (NP (DT the) (NN lion)) (VP (VBD was) (RB n't) (ADJP (JJ able) (S (VP (TO to) (VP (VB fight) (NP (DT the) (NN bull))))))))))))) (. .)))
(ROOT (S (NP (DT The) (NN lion)) (VP (VP (VBD walked) (PP (IN toward) (NP (DT the) (NN bull)))) (CC and) (VP (VBD began) (S (VP (TO to) (VP (VB feign) (SBAR (IN that) (S (NP (DT the) (NN lion)) (VP (VBD was) (ADJP (JJ friendly)))))))))) (. .)))
(ROOT (S (S (NP (DT The) (NN lion)) (VP (VBD said) (PP (TO to) (NP (DT the) (NN bull))) (SBAR (IN that) (S (NP (DT the) (NN lion)) (VP (VBD admired) (SBAR (S (NP (NP (DT the) (NN body)) (PP (IN of) (NP (DT the) (NN bull)))) (, ,) (VP (VBD admired) (NP (NP (DT the) (NN head)) (PP (IN of) (NP (DT the) (NN bull)))))))))))) (, ,) (NP (PRP he)) (VP (VP (VBD admired) (NP (NP (DT every) (NN shoulder)) (PP (IN of) (NP (DT the) (NN bull))))) (CC and) (VP (VBD admired) (NP (NP (DT every) (NN thigh)) (PP (IN of) (NP (DT the) (NN bull)))))) (. .)))
(ROOT (S (NP (DT The) (NN lion)) (VP (VBD advised) (NP (DT the) (NN bull) (S (VP (TO to) (VP (VB remove) (NP (NP (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull)))) (SBAR (IN because) (S (NP (NP (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull)))) (VP (VBD was) (ADJP (JJ ugly)))))))))) (. .)))
(ROOT (S (NP (DT The) (NN lion)) (VP (VBD succeeded) (PP (IN in) (S (VP (VBG persuading) (NP (DT the) (NN bull) (S (VP (TO to) (VP (VB remove) (NP (NP (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull)))))))))))) (. .)))
(ROOT (S (S (NP (DT The) (NN lion)) (VP (VBD ate) (NP (DT the) (NN bull)))) (, ,) (CC and) (S (NP (DT the) (NN bull)) (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADJP (JJ defenseless))))))) (. .)))
",fables-02,"1	A	a	_	DT	_	2	det	_	_
2	Lion	Lion	_	NNP	_	3	nsubj	_	_
3	watched	watch	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	7	det	_	_
5	fat	fat	_	JJ	_	7	amod	_	_
6	Bull	bull	_	NN	_	7	compound	_	_
7	feeding	feeding	_	NN	_	3	dobj	_	_
8	in	in	_	IN	_	10	case	_	_
9	a	a	_	DT	_	10	det	_	_
10	meadow	meadow	_	NN	_	3	nmod	_	_
11	,	,	_	,	_	3	punct	_	_
12	and	and	_	CC	_	3	cc	_	_
13	his	he	_	PRP$	_	14	nmod:poss	_	_
14	mouth	mouth	_	NN	_	15	nsubj	_	_
15	watered	water	_	VBD	_	3	conj	_	_
16	when	when	_	WRB	_	18	advmod	_	_
17	he	he	_	PRP	_	18	nsubj	_	_
18	thought	think	_	VBD	_	15	advcl	_	_
19	of	of	_	IN	_	22	case	_	_
20	the	the	_	DT	_	22	det	_	_
21	royal	royal	_	JJ	_	22	amod	_	_
22	feast	feast	_	NN	_	18	nmod	_	_
23	he	he	_	PRP	_	25	nsubj	_	_
24	would	would	_	MD	_	25	aux	_	_
25	make	make	_	VB	_	22	acl:relcl	_	_
26	,	,	_	,	_	3	punct	_	_
27	but	but	_	CC	_	3	cc	_	_
28	he	he	_	PRP	_	31	nsubj	_	_
29	did	do	_	VBD	_	31	aux	_	_
30	not	not	_	RB	_	31	neg	_	_
31	dare	dare	_	VB	_	3	conj	_	_
32	to	to	_	TO	_	33	mark	_	_
33	attack	attack	_	VB	_	31	xcomp	_	_
34	him	he	_	PRP	_	33	dobj	_	_
35	,	,	_	,	_	31	punct	_	_
36	for	for	_	IN	_	39	mark	_	_
37	he	he	_	PRP	_	39	nsubj	_	_
38	was	be	_	VBD	_	39	cop	_	_
39	afraid	afraid	_	JJ	_	31	advcl	_	_
40	of	of	_	IN	_	43	case	_	_
41	his	he	_	PRP$	_	43	nmod:poss	_	_
42	sharp	sharp	_	JJ	_	43	amod	_	_
43	horns	horn	_	NNS	_	39	nmod	_	_
44	.	.	_	.	_	3	punct	_	_

1	Hunger	hunger	_	NN	_	6	nsubj	_	_
2	,	,	_	,	_	6	punct	_	_
3	however	however	_	RB	_	6	advmod	_	_
4	,	,	_	,	_	6	punct	_	_
5	presently	presently	_	RB	_	6	advmod	_	_
